16,1
16,2
17,1
17,2
17,3
18,1
18,2
18,3
19,1
19,2
19,3
20,1
20,2
21,1
21,2
21,3
22,1
22,2
22,3
23,1
23,2
24,1
24,2
25,1
26,1
27,1
27,2
28,1
28,2
28,3
29,1
29,2
29,3
30,1
30,2
31,1
31,2
32,1
32,2
33,1
34,1
35,1
36,1
37,1
37,2
37,3
38,1
38,2
38,3
39,1
39,2
40,1
40,2
40,3
41,1
42,1
42,2
42,3
43,1
43,2
43,3
44,1
45,1
45,2
46,1
46,2
46,3
47,1
48,1
48,2
49,1
49,2
49,3
50,1
50,2
50,3
51,1
51,2
52,1
52,2
52,1
52,2
53,1
53,2
54,1
54,2
54,3
55,1
55,2
56,1
56,2
56,3
57,1
58,1
58,2
58,3
58,1
58,2
58,3
59,1
59,2
59,1
59,2
60,1
60,2
60,3
61,1
61,2
61,3
62,1
62,2
64,1
65,1
65,2
66,1
67,1
67,2
68,1
68,2
69,1
69,2
69,3
69,1
69,2
69,3
70,1
70,2
70,3
71,1
71,2
72,1
72,2
73,1
73,2
74,1
74,1
75,1
75,2
75,3
76,1
76,2
77,1
77,2
77,3
78,1
78,2
78,3
79,1
79,2
79,1
79,1
79,2
80,1
80,2
80,3
81,1
81,2
81,3
82,1
82,2
82,3
84,1
84,2
84,3
85,1
85,2
86,1
86,2
87,1
87,1
87,2
87,3
88,1
118,1
89,1
89,2
90,1
90,2
90,3
91,1
91,2
91,3
92,1
92,2
92,3
95,1
95,2
96,1
96,2
97,1
98,1
99,1
99,2
100,1
100,2
101,1
101,2
101,3
102,1
102,1
102,2
102,3
103,1
103,2
103,3
104,1
104,2
105,1
105,2
105,3
106,1
106,2
106,3
107,1
107,2
107,3
108,1
108,2
108,3
110,1
111,1
111,2
111,3
112,1
112,2
113,1
113,2
114,1
114,2
114,3
115,1
115,2
116,1
116,2
117,1
117,2
