65,34,1
102,2,4
349,37,2
472,55,5
122,51,4
585,33,5
188,37,5
521,46,1
119,81,5
55,90,4
16,47,2
469,71,3
91,81,2
17,95,1
14,57,3
43,31,5
451,10,3
596,75,5
285,12,1
295,22,5
447,70,5
36,25,2
402,53,5
290,78,3
599,61,5
506,71,4
506,20,2
556,82,5
307,80,4
324,34,2
592,9,4
312,76,4
237,10,1
340,85,2
180,67,2
471,18,2
461,68,1
473,66,4
323,58,2
91,83,3
30,74,1
172,52,3
363,32,4
431,77,1
503,30,5
473,59,4
267,91,2
361,96,4
502,3,4
164,66,2
269,26,1
426,35,4
35,18,1
334,34,4
146,90,4
546,79,1
518,11,2
581,80,3
194,52,4
151,55,2
42,20,5
367,70,2
181,43,2
561,18,5
371,62,2
388,54,4
287,51,5
556,10,2
568,23,5
71,76,3
30,4,3
542,70,1
385,4,1
164,31,2
35,12,1
164,81,5
105,67,2
585,47,4
138,84,5
583,36,4
130,75,3
336,91,4
551,38,2
102,18,5
153,48,3
274,75,2
200,95,4
263,63,2
47,31,2
420,71,1
364,12,2
548,72,3
95,24,4
525,48,1
158,45,5
17,85,2
566,65,4
103,60,1
277,21,2
464,8,3
499,77,5
530,21,1
560,97,5
534,43,4
266,72,2
340,99,5
178,67,3
34,75,2
581,35,2
418,66,2
286,45,4
168,55,1
415,17,3
108,30,1
20,76,4
170,22,3
349,2,3
328,34,2
343,25,5
354,34,4
598,21,4
217,91,2
511,27,2
46,35,4
154,94,3
101,40,1
489,6,2
108,53,4
207,77,4
231,55,5
62,20,5
450,62,4
505,61,1
348,73,5
128,80,1
336,17,5
540,78,2
205,9,2
174,52,4
345,56,5
269,46,2
263,25,5
591,76,1
268,52,4
501,32,3
524,47,1
93,21,1
95,29,5
204,33,4
200,80,3
82,63,4
499,82,5
563,91,5
214,45,2
3,51,5
229,86,5
300,69,4
227,80,5
39,72,3
202,21,3
285,64,1
219,39,4
327,91,2
323,98,5
354,73,3
283,8,4
501,12,5
332,84,2
364,50,1
329,67,4
598,83,3
412,70,4
86,20,4
548,22,1
538,32,3
396,73,1
584,55,5
600,41,2
113,39,4
30,1,5
307,88,5
550,86,1
426,68,3
91,71,1
335,86,1
288,17,2
400,7,3
558,73,2
257,28,5
106,79,1
325,45,2
44,19,3
101,13,2
525,4,3
144,2,5
326,58,4
65,91,3
455,78,5
413,37,3
237,25,4
9,65,2
45,66,5
204,77,3
226,15,2
52,10,5
454,67,1
57,57,3
411,92,1
142,21,5
482,93,4
491,27,1
253,14,2
227,27,5
401,69,3
537,17,4
410,1,4
178,82,4
268,22,5
303,77,3
145,82,1
182,33,1
206,58,4
71,52,1
187,32,3
44,74,1
429,29,1
255,87,3
69,63,3
371,37,5
45,56,5
90,49,1
164,96,4
12,8,5
31,100,4
214,46,2
303,91,3
471,46,1
345,4,1
218,8,3
546,53,2
78,58,4
264,97,1
406,53,1
454,51,3
401,87,4
407,2,1
157,97,4
373,40,4
193,100,1
20,26,2
310,9,4
470,13,4
431,63,1
133,46,4
133,87,2
135,65,4
468,53,3
144,3,5
161,45,4
263,66,5
443,94,4
26,53,2
281,77,5
599,35,3
52,75,3
457,34,4
202,72,5
65,92,2
19,57,1
584,57,5
396,21,2
244,85,1
132,61,3
539,24,2
592,39,1
228,78,1
453,70,2
346,58,4
20,42,1
369,11,3
253,66,4
41,21,5
265,100,1
235,34,1
581,9,3
350,18,3
169,81,3
518,85,4
19,54,4
283,4,4
2,7,5
461,14,4
270,36,5
599,1,1
568,66,1
554,91,3
518,64,5
43,2,1
386,14,4
514,62,3
77,43,1
495,1,2
405,46,3
89,5,4
396,72,2
93,19,5
201,62,2
374,43,5
590,9,3
112,17,1
249,24,4
389,3,4
391,23,4
569,67,3
122,74,2
178,30,1
501,71,5
198,79,5
177,97,1
548,90,3
11,90,1
519,7,5
226,72,5
142,43,4
415,11,5
204,37,2
99,32,2
479,78,4
66,4,2
43,95,5
513,96,1
341,19,1
47,46,5
308,54,4
337,74,1
541,31,1
559,48,5
592,63,3
308,81,1
218,28,5
176,51,4
584,15,4
574,52,3
94,91,1
127,4,1
15,51,5
563,24,3
210,32,4
90,68,5
476,67,2
297,19,1
346,25,1
236,41,1
488,28,1
307,57,3
441,83,2
315,89,2
582,95,3
43,61,3
49,47,5
115,76,5
334,99,2
112,82,1
49,17,5
434,92,2
131,79,2
358,32,3
233,5,3
587,31,1
57,13,1
64,76,4
284,16,2
467,81,1
388,98,2
58,91,2
112,23,4
237,8,2
513,1,4
276,88,4
14,90,3
254,90,4
263,76,1
18,1,4
149,95,2
199,45,5
478,48,3
64,62,4
544,12,2
295,4,2
597,63,2
230,85,1
184,15,5
3,24,5
441,80,2
521,86,4
595,12,1
146,51,3
278,98,4
40,43,5
290,55,1
445,86,5
394,96,3
44,64,4
531,51,5
523,6,3
298,64,2
324,53,4
89,54,3
585,58,5
340,84,5
325,40,1
400,64,5
428,15,4
553,100,1
556,66,1
448,51,2
557,40,4
49,45,1
564,44,5
132,43,3
432,51,2
526,65,3
501,31,2
417,3,2
209,20,3
4,76,1
374,61,5
463,95,5
231,14,4
193,41,2
90,15,4
286,18,5
597,27,3
508,16,2
245,58,5
412,64,2
101,22,5
418,76,4
140,34,4
532,67,1
582,80,5
185,70,4
223,22,2
361,77,4
152,24,2
91,12,3
338,66,4
271,69,4
50,65,2
494,33,2
99,77,3
31,43,5
537,70,3
421,51,4
178,44,3
203,50,1
553,72,2
503,39,2
117,51,2
581,34,5
578,8,4
84,17,5
475,11,5
210,17,4
195,91,2
334,62,2
464,68,5
246,34,4
365,82,3
464,18,4
509,52,2
555,67,3
493,41,3
561,80,2
134,98,4
455,19,2
273,57,3
308,45,4
360,51,3
429,14,3
482,94,5
169,47,5
216,72,1
596,17,2
504,76,5
496,46,1
72,85,3
235,64,1
107,84,4
418,63,1
225,79,1
147,67,4
579,30,3
343,24,3
358,26,1
36,1,5
377,25,1
336,94,5
414,6,1
342,89,3
53,16,1
146,3,2
192,17,5
462,35,1
266,60,1
423,43,2
95,58,5
248,49,3
399,13,1
4,31,4
353,6,1
491,43,1
19,63,4
265,43,3
450,21,5
21,26,5
393,57,3
511,68,3
191,10,5
8,38,2
156,47,2
10,79,1
306,25,4
286,12,5
275,3,3
547,15,5
494,58,5
282,97,2
79,96,1
363,4,4
413,89,2
135,29,4
70,1,2
327,40,5
120,10,3
459,8,5
164,99,3
495,32,3
457,73,1
577,36,3
409,82,5
583,65,3
23,22,3
24,38,3
234,11,4
550,31,1
208,2,2
49,66,2
503,41,4
255,16,2
191,98,3
59,81,3
235,21,5
169,74,4
359,86,1
285,88,2
411,40,2
466,60,1
444,53,5
174,97,2
194,75,1
298,81,3
175,16,5
264,36,3
364,82,1
27,66,4
278,96,2
37,43,5
339,74,2
217,96,2
468,63,4
175,30,1
480,90,5
62,72,5
108,68,2
596,62,5
409,12,1
333,92,4
513,62,2
352,21,2
236,55,5
480,29,4
589,46,2
262,34,4
129,18,3
117,92,5
225,30,3
169,55,2
295,28,2
314,86,2
151,87,5
75,74,3
338,94,2
582,24,1
559,68,2
182,100,5
566,98,1
513,77,4
526,14,1
84,49,2
166,9,5
102,90,1
69,80,5
442,16,2
530,94,3
104,5,1
416,38,4
59,77,2
329,94,2
565,3,4
356,15,3
131,36,1
537,36,1
13,20,4
150,30,3
193,54,2
389,80,5
274,94,1
365,55,2
56,17,3
159,53,5
554,32,4
484,34,3
504,16,5
384,12,1
500,88,1
348,88,3
17,37,2
43,94,1
263,65,5
521,11,3
114,5,4
418,23,2
7,44,1
382,99,3
262,37,2
242,43,5
533,51,3
527,23,3
420,3,3
392,78,2
275,26,3
145,10,2
545,88,2
190,48,2
584,59,3
396,50,3
182,11,4
248,91,4
433,90,4
258,29,4
150,23,1
223,53,1
475,28,4
162,7,2
558,40,2
597,79,3
469,29,4
563,92,5
397,24,3
195,45,4
75,43,1
129,56,2
366,28,4
158,4,5
586,80,5
557,5,1
37,37,1
13,76,5
291,17,4
448,85,3
295,69,1
571,7,5
446,95,4
491,87,2
79,69,5
307,45,4
466,92,5
463,5,5
142,3,5
5,74,1
398,8,4
297,89,1
342,14,5
190,98,3
478,68,1
538,67,5
399,15,1
538,99,1
394,90,1
214,49,5
508,92,3
273,77,5
167,38,5
536,74,1
345,2,2
460,63,3
275,99,1
279,17,4
136,62,4
554,25,3
248,57,1
562,91,4
6,97,5
407,45,1
50,62,2
51,76,3
574,5,4
554,64,4
338,24,2
90,81,1
355,70,2
251,69,2
535,47,2
102,89,2
50,3,3
122,84,2
17,86,2
412,59,2
427,81,5
372,67,4
130,74,3
292,43,4
207,41,4
258,33,5
368,12,4
333,50,3
270,23,1
37,21,4
319,50,4
298,79,4
582,28,3
25,43,5
25,67,1
292,83,5
413,42,3
593,14,4
335,3,2
471,14,3
296,94,1
282,28,5
40,19,2
105,73,5
523,15,1
27,84,3
324,24,1
211,51,4
311,93,2
105,2,3
434,88,1
254,39,2
563,14,5
355,73,4
261,41,4
399,92,2
110,65,4
200,32,3
559,12,5
176,86,5
165,24,5
